Average Price,COMPANY NAME
11631.642429577465,M&M
10265.760915492958,TRENT
6191.419894366197,APOLLO HOSPITALS
4670.86073943662,TITAN
4390.451628521127,BAJAJ FINSERV
3340.523679577465,BPCL
3338.02588028169,EICHER MOTORS
3019.3827464788733,ASIAN PAINTS
2867.1457746478873,L&T
2647.893573943662,HERO MOTOCORP
2571.638204225352,SHRIRAM FINANCE
2533.715845070423,HINDALCO
2436.818309859155,TECH MAHINDRA
2106.795158450704,ADANI PORTS & SEZ
1772.9563380281688,KOTAK MAHINDRA BANK
1629.8769366197182,INFOSYS
1541.2547535211268,HCL TECHNOLOGIES
1527.812676056338,SUN PHARMA
1518.976883802817,TATA STEEL
1442.3605633802817,INDUSIND BANK
1418.1999119718312,NESTLE
1232.324823943662,DR. REDDYS LAB
1135.6266725352111,SBI LIFE INSURANCE
1126.4677816901408,AXIS BANK
1110.1989436619717,HDFC LIFE INSURANCE
1110.0607394366198,ICICI BANK
874.293485915493,JSW STEEL
837.5802288732394,POWER GRID
789.3548063380282,BHARTI AIRTEL
484.5346830985916,ULTRATECH CEMENT
454.5989436619719,IOC
435.59049295774645,COAL INDIA
260.17605633802816,NTPC
