Average Volume,COMPANY NAME
18690706.78169014,NTPC
15050601.15140845,POWER GRID
15021243.75,TATA STEEL
14949379.665492957,ICICI BANK
14127310.507042253,IOC
12214354.40140845,HDFC LIFE INSURANCE
11918318.838028168,COAL INDIA
11170870.397887323,BHARTI AIRTEL
9618029.686619718,AXIS BANK
9378744.142605634,SBI LIFE INSURANCE
8786178.073943662,NESTLE
7930857.055457747,BAJAJ FINSERV
7784437.665492957,ULTRATECH CEMENT
6755539.116197183,INFOSYS
5336166.295774648,KOTAK MAHINDRA BANK
3947158.9401408453,INDUSIND BANK
3865310.0950704226,HERO MOTOCORP
3585430.954225352,ADANI PORTS & SEZ
2979915.7077464787,HCL TECHNOLOGIES
2756032.352112676,L&T
2225052.3274647887,JSW STEEL
2198935.017605634,SUN PHARMA
2062054.764084507,DR. REDDYS LAB
1872679.852112676,HINDALCO
1660961.3415492957,TECH MAHINDRA
1420213.38028169,SHRIRAM FINANCE
1214614.3450704226,ASIAN PAINTS
1081810.4735915493,BPCL
882024.559859155,TITAN
718155.4647887324,EICHER MOTORS
560861.3345070423,M&M
432472.9718309859,APOLLO HOSPITALS
352559.78169014084,TRENT
