Standard deviation of Daily Return,Volatility,Ticker
0.02512903624361879,0.02512903624361879,TRENT
0.01849085252021476,0.01849085252021476,TATASTEEL
0.016783743022456665,0.016783743022456665,TATAMOTORS
0.016028162247086572,0.016028162247086572,WIPRO
0.0159186869156756,0.0159186869156756,TECHM
0.015242863051276178,0.015242863051276178,TATACONSUM
0.013799501930127439,0.013799501930127439,ULTRACEMCO
0.01347029116754315,0.01347029116754315,TITAN
0.013456013374328432,0.013456013374328432,TCS
0.011894929849778859,0.011894929849778859,SUNPHARMA
